LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
4,Afghanistan,2,Medium,2020,2020.5,0,0,1,597.969,571.037,1169.006
4,Afghanistan,2,Medium,2020,2020.5,1,1,1,588.234,560,1148.234
4,Afghanistan,2,Medium,2020,2020.5,2,2,1,580.118,551.16,1131.278
4,Afghanistan,2,Medium,2020,2020.5,3,3,1,573.366,544.181,1117.547
4,Afghanistan,2,Medium,2020,2020.5,4,4,1,567.719,538.725,1106.444
4,Afghanistan,2,Medium,2020,2020.5,5,5,1,562.922,534.457,1097.379
4,Afghanistan,2,Medium,2020,2020.5,6,6,1,558.717,531.041,1089.758
4,Afghanistan,2,Medium,2020,2020.5,7,7,1,554.848,528.14,1082.988
4,Afghanistan,2,Medium,2020,2020.5,8,8,1,551.056,525.417,1076.473
4,Afghanistan,2,Medium,2020,2020.5,9,9,1,547.087,522.538,1069.625
4,Afghanistan,2,Medium,2020,2020.5,10,10,1,543.041,519.716,1062.757
4,Afghanistan,2,Medium,2020,2020.5,11,11,1,539.021,517.167,1056.188
4,Afghanistan,2,Medium,2020,2020.5,12,12,1,532.975,511.798,1044.773
4,Afghanistan,2,Medium,2020,2020.5,13,13,1,523.928,502.17,1026.098
4,Afghanistan,2,Medium,2020,2020.5,14,14,1,512.699,489.599,1002.298
4,Afghanistan,2,Medium,2020,2020.5,15,15,1,501.151,476.821,977.972
4,Afghanistan,2,Medium,2020,2020.5,16,16,1,488.989,463.258,952.247
4,Afghanistan,2,Medium,2020,2020.5,17,17,1,476.138,449.771,925.909
4,Afghanistan,2,Medium,2020,2020.5,18,18,1,462.774,437.053,899.827
4,Afghanistan,2,Medium,2020,2020.5,19,19,1,448.889,424.601,873.49
4,Afghanistan,2,Medium,2020,2020.5,20,20,1,434.526,411.475,846.001
4,Afghanistan,2,Medium,2020,2020.5,21,21,1,419.948,398.169,818.117
4,Afghanistan,2,Medium,2020,2020.5,22,22,1,404.459,383.504,787.963
4,Afghanistan,2,Medium,2020,2020.5,23,23,1,387.808,366.897,754.705
4,Afghanistan,2,Medium,2020,2020.5,24,24,1,370.538,349.161,719.699
4,Afghanistan,2,Medium,2020,2020.5,25,25,1,353.421,331.751,685.172
4,Afghanistan,2,Medium,2020,2020.5,26,26,1,336.278,314.449,650.727
4,Afghanistan,2,Medium,2020,2020.5,27,27,1,320.411,298.207,618.618
4,Afghanistan,2,Medium,2020,2020.5,28,28,1,306.539,283.672,590.211
4,Afghanistan,2,Medium,2020,2020.5,29,29,1,294.147,270.511,564.658
4,Afghanistan,2,Medium,2020,2020.5,30,30,1,281.915,257.533,539.448
4,Afghanistan,2,Medium,2020,2020.5,31,31,1,270.012,244.716,514.728
4,Afghanistan,2,Medium,2020,2020.5,32,32,1,258.949,233.695,492.644
4,Afghanistan,2,Medium,2020,2020.5,33,33,1,248.819,225.083,473.902
4,Afghanistan,2,Medium,2020,2020.5,34,34,1,239.426,218.111,457.537
4,Afghanistan,2,Medium,2020,2020.5,35,35,1,230.451,211.464,441.915
4,Afghanistan,2,Medium,2020,2020.5,36,36,1,221.915,205.485,427.4
4,Afghanistan,2,Medium,2020,2020.5,37,37,1,213.569,198.824,412.393
4,Afghanistan,2,Medium,2020,2020.5,38,38,1,205.242,190.701,395.943
4,Afghanistan,2,Medium,2020,2020.5,39,39,1,196.99,181.746,378.736
4,Afghanistan,2,Medium,2020,2020.5,40,40,1,189.095,173.375,362.47
4,Afghanistan,2,Medium,2020,2020.5,41,41,1,181.565,165.312,346.877
4,Afghanistan,2,Medium,2020,2020.5,42,42,1,173.88,157.633,331.513
4,Afghanistan,2,Medium,2020,2020.5,43,43,1,165.832,150.52,316.352
4,Afghanistan,2,Medium,2020,2020.5,44,44,1,157.648,143.863,301.511
4,Afghanistan,2,Medium,2020,2020.5,45,45,1,149.748,137.338,287.086
4,Afghanistan,2,Medium,2020,2020.5,46,46,1,142.024,130.969,272.993
4,Afghanistan,2,Medium,2020,2020.5,47,47,1,134.809,125.026,259.835
4,Afghanistan,2,Medium,2020,2020.5,48,48,1,128.304,119.601,247.905
4,Afghanistan,2,Medium,2020,2020.5,49,49,1,122.341,114.576,236.917
4,Afghanistan,2,Medium,2020,2020.5,50,50,1,116.523,109.746,226.269
4,Afghanistan,2,Medium,2020,2020.5,51,51,1,110.894,105.152,216.046
4,Afghanistan,2,Medium,2020,2020.5,52,52,1,105.556,100.63,206.186
4,Afghanistan,2,Medium,2020,2020.5,53,53,1,100.51,96.078,196.588
4,Afghanistan,2,Medium,2020,2020.5,54,54,1,95.705,91.565,187.27
4,Afghanistan,2,Medium,2020,2020.5,55,55,1,91.101,87.25,178.351
4,Afghanistan,2,Medium,2020,2020.5,56,56,1,86.716,83.087,169.803
4,Afghanistan,2,Medium,2020,2020.5,57,57,1,82.338,79.102,161.44
4,Afghanistan,2,Medium,2020,2020.5,58,58,1,77.859,75.319,153.178
4,Afghanistan,2,Medium,2020,2020.5,59,59,1,73.365,71.702,145.067
4,Afghanistan,2,Medium,2020,2020.5,60,60,1,69.045,68.21,137.255
4,Afghanistan,2,Medium,2020,2020.5,61,61,1,64.854,64.871,129.725
4,Afghanistan,2,Medium,2020,2020.5,62,62,1,60.829,61.542,122.371
4,Afghanistan,2,Medium,2020,2020.5,63,63,1,57.004,58.154,115.158
4,Afghanistan,2,Medium,2020,2020.5,64,64,1,53.349,54.78,108.129
4,Afghanistan,2,Medium,2020,2020.5,65,65,1,49.794,51.494,101.288
4,Afghanistan,2,Medium,2020,2020.5,66,66,1,46.35,48.193,94.543
4,Afghanistan,2,Medium,2020,2020.5,67,67,1,43.02,45.314,88.334
4,Afghanistan,2,Medium,2020,2020.5,68,68,1,39.796,43.056,82.852
4,Afghanistan,2,Medium,2020,2020.5,69,69,1,36.677,41.164,77.841
4,Afghanistan,2,Medium,2020,2020.5,70,70,1,33.683,39.281,72.964
4,Afghanistan,2,Medium,2020,2020.5,71,71,1,30.822,37.587,68.409
4,Afghanistan,2,Medium,2020,2020.5,72,72,1,28.016,35.284,63.3
4,Afghanistan,2,Medium,2020,2020.5,73,73,1,25.229,31.974,57.203
4,Afghanistan,2,Medium,2020,2020.5,74,74,1,22.504,28.071,50.575
4,Afghanistan,2,Medium,2020,2020.5,75,75,1,19.92,24.374,44.294
4,Afghanistan,2,Medium,2020,2020.5,76,76,1,17.464,20.699,38.163
4,Afghanistan,2,Medium,2020,2020.5,77,77,1,15.183,17.522,32.705
4,Afghanistan,2,Medium,2020,2020.5,78,78,1,13.108,15.155,28.263
4,Afghanistan,2,Medium,2020,2020.5,79,79,1,11.222,13.357,24.579
4,Afghanistan,2,Medium,2020,2020.5,80,80,1,9.465,11.575,21.04
4,Afghanistan,2,Medium,2020,2020.5,81,81,1,7.837,9.912,17.749
4,Afghanistan,2,Medium,2020,2020.5,82,82,1,6.409,8.391,14.8
4,Afghanistan,2,Medium,2020,2020.5,83,83,1,5.207,6.962,12.169
4,Afghanistan,2,Medium,2020,2020.5,84,84,1,4.197,5.65,9.847
4,Afghanistan,2,Medium,2020,2020.5,85,85,1,3.307,4.509,7.816
4,Afghanistan,2,Medium,2020,2020.5,86,86,1,2.535,3.513,6.048
4,Afghanistan,2,Medium,2020,2020.5,87,87,1,1.903,2.684,4.587
4,Afghanistan,2,Medium,2020,2020.5,88,88,1,1.409,2.035,3.444
4,Afghanistan,2,Medium,2020,2020.5,89,89,1,1.031,1.534,2.565
4,Afghanistan,2,Medium,2020,2020.5,90,90,1,0.703,1.069,1.772
4,Afghanistan,2,Medium,2020,2020.5,91,91,1,0.514,0.774,1.288
4,Afghanistan,2,Medium,2020,2020.5,92,92,1,0.406,0.615,1.021
4,Afghanistan,2,Medium,2020,2020.5,93,93,1,0.283,0.438,0.721
4,Afghanistan,2,Medium,2020,2020.5,94,94,1,0.147,0.243,0.39
4,Afghanistan,2,Medium,2020,2020.5,95,95,1,0.071,0.135,0.206
4,Afghanistan,2,Medium,2020,2020.5,96,96,1,0.058,0.111,0.169
4,Afghanistan,2,Medium,2020,2020.5,97,97,1,0.044,0.085,0.129
4,Afghanistan,2,Medium,2020,2020.5,98,98,1,0.029,0.057,0.086
4,Afghanistan,2,Medium,2020,2020.5,99,99,1,0.013,0.026,0.039
4,Afghanistan,2,Medium,2020,2020.5,100,100,-1,0.011,0.028,0.039
4,Afghanistan,2,Medium,2021,2021.5,0,0,1,600.867,573.954,1174.821
4,Afghanistan,2,Medium,2021,2021.5,1,1,1,594.556,567.343,1161.899
4,Afghanistan,2,Medium,2021,2021.5,2,2,1,585.921,557.731,1143.652
4,Afghanistan,2,Medium,2021,2021.5,3,3,1,578.582,549.873,1128.455
4,Afghanistan,2,Medium,2021,2021.5,4,4,1,572.326,543.494,1115.82
4,Afghanistan,2,Medium,2021,2021.5,5,5,1,566.94,538.319,1105.259
4,Afghanistan,2,Medium,2021,2021.5,6,6,1,562.177,534.029,1096.206
4,Afghanistan,2,Medium,2021,2021.5,7,7,1,557.789,530.305,1088.094
4,Afghanistan,2,Medium,2021,2021.5,8,8,1,553.736,527.091,1080.827
4,Afghanistan,2,Medium,2021,2021.5,9,9,1,549.871,524.2,1074.071
4,Afghanistan,2,Medium,2021,2021.5,10,10,1,545.879,521.224,1067.103
4,Afghanistan,2,Medium,2021,2021.5,11,11,1,541.705,518.173,1059.878
4,Afghanistan,2,Medium,2021,2021.5,12,12,1,537.496,515.317,1052.813
4,Afghanistan,2,Medium,2021,2021.5,13,13,1,531.231,509.649,1040.88
4,Afghanistan,2,Medium,2021,2021.5,14,14,1,521.937,499.756,1021.693
4,Afghanistan,2,Medium,2021,2021.5,15,15,1,510.453,486.959,997.412
4,Afghanistan,2,Medium,2021,2021.5,16,16,1,498.65,473.952,972.602
4,Afghanistan,2,Medium,2021,2021.5,17,17,1,486.226,460.15,946.376
4,Afghanistan,2,Medium,2021,2021.5,18,18,1,473.206,446.565,919.771
4,Afghanistan,2,Medium,2021,2021.5,19,19,1,459.813,433.96,893.773
4,Afghanistan,2,Medium,2021,2021.5,20,20,1,445.999,421.761,867.76
4,Afghanistan,2,Medium,2021,2021.5,21,21,1,431.709,408.887,840.596
4,Afghanistan,2,Medium,2021,2021.5,22,22,1,417.215,395.856,813.071
4,Afghanistan,2,Medium,2021,2021.5,23,23,1,401.845,381.445,783.29
4,Afghanistan,2,Medium,2021,2021.5,24,24,1,385.345,365.037,750.382
4,Afghanistan,2,Medium,2021,2021.5,25,25,1,368.246,347.461,715.707
4,Afghanistan,2,Medium,2021,2021.5,26,26,1,351.314,330.23,681.544
4,Afghanistan,2,Medium,2021,2021.5,27,27,1,334.37,313.117,647.487
4,Afghanistan,2,Medium,2021,2021.5,28,28,1,318.669,297.023,615.692
